seed,True,ARMA,Informer
48,"[1.1399513399307817, 2.430756152965367, 1.934636891961126, -0.8375189558567607, -3.010068500613653, -1.667091680285292, -0.0882044017550313, 1.0351423008721765, -0.28129497585500673, 0.049888017237669335]","[0.2527927972321449, 1.2551266866436017, 1.4636846957610739, 0.6113991855564898, -1.4947160330091367, -1.9827292073380278, -0.002639350727379197, 0.3314610517609937, 0.8491999905415278, -0.859533215171663]","[0.33576208, 2.0482097, 1.05798, 0.46513534, -0.12835915, -0.015700169, -0.38484195, 0.75899833, 0.8478723, -3.6042202]"
4,"[2.067124107644449, 2.5686384206666197, 1.548636252558472, -1.8934739577779094, -3.0603493921538383, -1.5460546475415136, 1.6060580025500382, 1.0334052925338875, 0.1531615255673301, -0.9281370649952224]","[-0.6934151272640436, 2.3776218575252788, 0.7741830902158584, 0.3963862696822936, -2.2678525610233167, -1.3138441467792836, -0.02747901729369928, 1.8765519377017443, -0.26561020302204796, -0.041675644605451284]","[-0.4355365, 2.3611853, 1.2119843, 0.5791986, -1.2235143, -2.1894076, 0.05145008, 2.2598538, -0.47866282, -1.6850249]"
49,"[2.14139299167754, 0.737526324612608, -2.695596445213911, -2.1341644105411124, 0.6657921220924975, 1.325673640268029, 0.9371901206099983, 1.7274604421408803, 1.7147301263003336, 0.6381771095028151]","[0.8043065297502421, 1.3395788166162892, -0.27351603363580324, -2.487694272643738, -0.16550447105785415, 1.3650768305006822, 0.37386154486518586, 0.18461263562942287, 1.279748431601233, 0.7093535348876685]","[1.1232413, 2.710683, -0.19380265, -2.817167, -0.05130375, 2.232095, -0.81457055, -1.2478433, -0.44622755, -0.39694425]"
26,"[-2.137207159941018, -1.548716462312171, -0.4097235362139258, 0.09950230877584003, 0.3047697198963778, 0.3717224578572047, -1.0782700431902128, -0.9204881218738453, -2.2284802823007532, 1.6278903209138331]","[-0.48619488694345114, -1.6747748323959941, -0.338907236118058, -0.03060431472841682, 0.10041403696044433, 0.22427383995143632, 0.19228911946860272, -1.1309945845017988, -0.15645906534328202, -1.8486374035991957]","[-0.7799012, -2.049185, -1.0099728, 0.91456276, -0.20862553, -0.8955904, -0.90960246, -1.7129036, -0.25558388, -1.386688]"
9,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677749552682, 1.4923364637618968, -1.122379125503358, -0.5800851155402456, 1.193742103385336, -0.05870948624293382, -0.7418996493059715, -0.33151319434935506, 0.014819599365779701, -0.7975415092483881]","[1.0722325, 2.168339, -1.0418566, -0.64647734, 2.1038039, -0.6254701, -0.01719167, 0.4287557, -0.43215665, -0.07783283]"
15,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.452616209214033, 1.5766792051359406, -0.6501895378176186, -1.1402602649260716, 0.32905387248597995, 0.013888658901490259, -0.1276943853127383, -1.1097382782745002, -1.1645264933805102, 1.0720202706298756]","[0.17009275, 2.64858, -0.8455572, -0.37849995, 1.6167707, 1.5314493, -1.3865724, -1.7314479, -1.5909286, 0.22564073]"
44,"[-0.5056082778797509, -2.0875265911689587, -1.0587424355010804, -0.5779309381379442, -0.9511686886023605, 1.2944907615656183, 0.7781956316766037, -0.40165013354457113, -0.7305511989994586, -1.953595362675893]","[0.9066305752729582, -1.220804902115266, -1.24685542134551, 0.05879457662006826, -0.28627994091444703, -0.5946582445800904, 1.619375445852434, -0.2692493333530508, -0.43113926174704276, -0.3794094163824284]","[1.163655, -0.5118684, -1.2245468, -0.17949793, 0.26702374, -1.629411, -0.8043985, -2.8684728, -2.935977, -1.439006]"
43,"[0.2356787515456633, -1.4567976706763466, -0.6717081563961931, 0.7491927737602012, 1.8401161990665307, 1.2543654619093307, 0.4236550841755755, -0.2638848934160358, -1.8015295186173412, -1.6143054619232844]","[0.8936651462468591, -0.35428310519226647, -1.279244770599619, 0.2924188010381349, 0.7753355250100179, 1.1856339804439269, 0.16920222514247685, -0.03971924748551117, -0.35275853312716343, -1.454892218359085]","[0.78617334, -0.70924, -2.1738102, -0.85529435, -0.78695357, 0.15256453, 0.13437563, 1.0111128, 0.9788773, 1.0780065]"
31,"[-0.2961286904765348, -0.6336096511314683, 1.0251329346676603, 0.8600392488685231, -0.11189223653348883, 0.11324071608822323, 0.9080759866243711, 0.41638558378421137, -0.27700348089556404, 1.2447834539866645]","[-0.2675527565632014, 0.14081538535483745, -0.5111042131467308, 1.2299881847894252, 0.029535128252555443, -0.3426611026890122, 0.24639982591373452, 0.6614592379435917, -0.12217859368285405, -0.3091535096138941]","[-0.6411118, 0.9549401, -0.89411765, 0.3625068, -0.0579329, -0.019540934, 0.8110006, 1.1377274, 0.4438315, -0.27942502]"
21,"[-0.12209518045912171, -0.49232190219066185, 0.273603898841564, 0.07303147537178839, -0.8278595447446644, 0.4218687285241316, 0.2656092206333669, -1.8561907060811473, -2.323855822887737, -0.9278921284749352]","[0.3090763147491202, -0.2195393520039349, -0.38129807572068775, 0.539285732735527, -0.25194297584956593, -0.6769613656379327, 0.8711247283849197, -0.2565838212678197, -1.680694389858527, -1.0632215428628462]","[0.36942166, -1.0807459, -0.31693357, 1.7974831, -0.5341849, -1.0047733, 0.35354167, -0.8566779, -1.8386424, -0.996798]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[0.26032978, -1.7642189, -2.2549603, -0.75967133, -1.3316417, -1.72475, -1.682123, -1.2782681, -0.3680552, 1.1571418]"
16,"[0.5152276739766124, 0.144524383745533, -1.0183953636576761, -1.9749354802841095, -1.5787766719451315, 0.25751307478105334, -0.44708157882728417, -0.674185560798419, -1.6529463550583572, -2.02131055789495]","[-0.8583976403339317, 1.3774064495241565, -0.5847352604522926, -0.8830946506855164, -1.1174226432188172, -0.4474524297685868, 0.7383639017290176, -0.9334105354121602, -0.27107179646351903, -1.1784688823175045]","[-1.2803619, 0.93840337, -0.78471136, -0.83264107, -0.885301, -1.3881406, -1.7005597, -2.2222533, 0.85952634, 0.19815074]"
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[0.58355683, -0.74720985, -2.3395262, -1.9820073, -0.47387326, -0.088852875, -0.3981887, -0.047477767, 0.74267286, 1.7331141]"
22,"[0.9349710626244665, -1.0079803653464618, -2.2617010906704964, -2.5296775664849687, -2.1989700420724487, 1.0566217251543857, 2.9441932554597017, 1.7987345947809725, 0.7229064106424254, -0.22990473319400817]","[1.2545323584479693, 0.014749312019428584, -1.1410156448155417, -1.2848419367211983, -1.116619712721161, -0.8159186639846063, 1.820548948682597, 1.639719028598619, 0.16227139220006104, 0.0571184187179008]","[1.4797091, -0.51541907, -1.1937128, -2.080535, -2.5624888, -1.3381252, 0.37907103, 0.01693419, -2.035348, -3.5319593]"
45,"[0.5610074140434663, 0.07980465943690218, 0.08375326997131953, -0.1536627707201625, 0.3873411031695232, -0.20519217119133598, -1.9417602214778804, -1.8477082741216246, -1.4307904140148686, -1.9630829509448933]","[1.0861440915963883, -0.31647042631874056, -0.004349802429782362, 0.05465730201248273, -0.1873094876110566, 0.46936310169694173, -0.4594701157523096, -1.612268316640753, -0.6190646384716202, -0.5685555117890843]","[1.2708528, -1.349054, 0.07560085, 0.30666387, -0.11606644, -0.4644033, -0.4374925, -0.21273817, -0.8414882, -1.6563708]"
7,"[-1.7962881168495544, -1.2732067659801491, 0.8889886203523798, 2.951012883596368, 1.2646958340563796, -0.3323120601885993, 0.0903106840418626, -0.13735260074694355, -0.9151583016949827, -1.3520889193794698]","[-1.6979879476832072, -0.745448213548314, -0.3255003972473889, 1.3184101975608118, 1.8739404929492873, -0.5083924458995719, -0.4523972739014501, 0.3736915046230299, -0.31349366045575905, -0.6613341614854449]","[-1.2017586, -2.3207767, -0.09897748, 2.0353258, 1.8439828, -1.1887906, -1.224118, 0.19786595, 0.6811022, 3.4973612]"
11,"[1.220552242568979, 0.6384145957159848, -0.7898802092302276, -2.361363135025176, 0.13285202098126514, -0.1970077243723518, -0.0760779511015095, 0.10149436886419005, -0.7202119635367813, 0.23930190935999962]","[0.6584036723005278, 0.7042699585964356, -0.01359942979104134, -0.8429349597469535, -1.5579635429651244, 1.3253469064603598, -0.7607175112679561, 0.2957255648385991, -0.01640157604546212, -0.6518739327966119]","[1.0719209, 1.5348401, -1.017097, -1.2511438, -2.548463, -1.1829753, -1.8507172, -1.1435198, -0.5283666, -0.5285898]"
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[0.40026477, 1.0743217, -1.3678913, -1.5655653, 0.9333928, -0.34359422, -1.1956828, -0.052603297, 1.0593222, -1.1901051]"
50,"[-1.1074164950471894, -1.667247989755705, 0.19933135239435407, 2.6694384717533595, 0.5175092354803723, -3.05929763846666, -2.1261798332655144, -1.5593888249869532, -0.17739849212898062, -0.0876300162353374]","[-1.294546947347922, -0.23660740117292256, -1.0893862621223604, 1.1065212946828797, 2.135269274893738, -1.0983658675986212, -2.767990953569546, -0.07843375280379772, -0.6458314683957294, 0.5954661034302408]","[-0.9358752, -1.132079, -2.5481832, 0.21622622, 2.2353528, -1.0824611, -3.2137036, -1.2398951, -1.7782316, 2.5521345]"
34,"[1.5659960799344281, -0.4803619457547359, -1.0839423596483155, 0.1675213475082694, 0.9709578066105129, 0.1238356957633096, -0.6905410299778845, -1.3810468241012401, -1.5426304109503217, -0.14750334587360048]","[0.5728656478990121, 0.8722564668815384, -1.145947754823562, -0.40001281504466274, 0.5735033513829847, 0.5927367322663304, -0.36220643366573324, -0.5013023029332221, -0.8427655663325201, -0.6800261813035627]","[1.2433255, 1.4948518, -1.4220258, 0.4684369, 1.9061408, 1.0911726, -0.7636899, -0.4490514, -0.8740789, -0.79784167]"
