seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
4,"[0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766, -0.4200996647412988]","[-0.1974993216105474, 0.369281378236087, 0.07024258092947161, 0.24823460659015065, 0.4149634608122269, -0.0033281620007913904, 0.053518032670453436, 0.5003115092822665, 0.016351590627479817, 0.414778456275383]","[-0.1966648688601688, 0.36710016270275625, 0.0697746056283339, 0.24659326466092157, 0.41285315414164137, -0.0033060149009805067, 0.05316189066891552, 0.49721065449144675, 0.016215909653635147, 0.4113458684513729]","(1, 0, 0)","[-0.2243968, -0.22085905, -0.22092286, -0.22478068, -0.22777098, -0.22776408, -0.22858945, -0.22263339, -0.22470677, -0.22915176]","(20, 4)",0.001
14,"[-0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495964, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601, -0.729699225349111]","[-0.6558805832237924, -0.2941090514313882, -0.09622092105955116, 0.19690199888468013, 0.27995885333249515, -0.05812540509747982, 0.19068245634326716, 0.14286950048575364, -0.16300853659857772, -0.41310781268943003]","[-0.6385088998797919, -0.2862203096129577, -0.09363548806711151, 0.1914734707530378, 0.27244523119177266, -0.056501896558613596, 0.1853480266708178, 0.1388723726573564, -0.1583367633918623, -0.4017181140197146]","(1, 0, 0)","[-0.7366137, -0.63894796, -0.6094162, -0.35979623, -0.178056, -0.14087889, -0.1195238, -0.06454235, -0.047693983, -0.08143362]","(50, 10)",0.001
1,"[1.181258717042951, -0.02864609606080437, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603, 0.8881471574588644]","[0.48570926439125794, 0.5906293585214755, -0.014323048030402186, -0.3068876010752226, 0.12021961373873569, 0.1256438688039534, -0.16827510901895693, -0.10478235782555334, 0.1222676139072788, 0.24536453317749302]","[0.4811803402916071, 0.5869894822327925, -0.01418613385967295, -0.3039585547154608, 0.11889311463219943, 0.12426808020015007, -0.16635285474423156, -0.10358942260030192, 0.12083802228533955, 0.24259856670435295]","(1, 0, 0)","[0.5169846, 0.52328074, 0.52386314, 0.5496507, 0.5565903, 0.5610599, 0.56170034, 0.5600862, 0.561306, 0.56037956]","(20, 4)",0.001
5,"[-1.2592482846259265, -1.327094147597058, 0.26931584257708985, 1.0913188623417875, 0.0658633115593561, -0.930974811620329, -0.5591956013549166, -0.47299879378724585, 0.5037621625437596, -0.6117320995561139]","[-0.2602679839543385, -0.6296241423129633, -0.663547073798529, 0.13465792128854492, 0.5456594311708938, 0.03293165577967805, -0.4654874058101645, -0.2795978006774583, -0.23649939689362293, 0.2518810812718798]","[-0.2535756686574671, -0.6149898325610429, -0.650811210753018, 0.13133462670595433, 0.5328238455364369, 0.032082254827567575, -0.4534552314444079, -0.27238129489061913, -0.23055265531015845, 0.2451563198278823]","(1, 0, 0)","[-0.13902697, -0.16172716, -0.17507127, -0.18113866, -0.1814105, -0.357113, -0.38753587, -0.39516085, -0.39343566, -0.38968742]","(10, 2)",0.001
7,"[-0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166539, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639, -1.3496081361772265]","[-0.38852261130933197, -0.2173687526620806, -0.156235324392585, -0.09127352613983146, -0.3150093970958666, 0.28743611380832695, -0.19568636965351208, 0.29057368222917124, -0.1852246822565034, -0.5576161355959319]","[-0.311525623592215, -0.174398449478379, -0.12540234591523688, -0.07326336679405583, -0.2530435952158619, 0.23009482426862984, -0.15627942991903668, 0.23161054423938943, -0.14729533080462426, -0.4444884734577262]","(1, 0, 0)","[-0.15052794, -0.15128389, -0.15099242, -0.15092844, -0.15056795, -0.1507138, -0.15022646, -0.15085313, -0.15128326, -0.15117942]","(20, 4)",0.001
13,"[0.1772551438034512, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077895, -0.439206890067636]","[0.3004295060491696, 0.0886275719017256, 0.24677183345106737, 0.01674182831208705, 0.1031148864634518, -0.15033724994252534, -0.44609331089355564, 0.2688229246036288, 0.5544100788745723, 0.061666662990389476]","[0.3030417825446474, 0.08936931358658581, 0.24891395368356864, 0.016879255450696042, 0.10396314576093649, -0.15152065456267538, -0.45004190441457054, 0.2701541343973102, 0.5582630511769988, 0.061964722919563335]","(1, 0, 0)","[0.088873945, 0.0960317, 0.090155296, 0.08930116, 0.08546636, 0.06346553, 0.060033076, 0.05993422, 0.059928127, 0.072584964]","(20, 4)",0.001
20,"[0.6480832548117545, 0.140789945268621, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732, -0.4905603409625784]","[0.04384548387559334, 0.3240416274058773, 0.0703949726343105, -0.1099996114230688, 0.14817767206239418, 0.07431510383923534, -0.26140251283693827, -0.018902566275967703, -0.020932696352324004, 0.147780084103866]","[0.03995299160752808, 0.2954132271551309, 0.06414179172012227, -0.10022225179279382, 0.13492433014061797, 0.06766848836530209, -0.2379198055485822, -0.01719475916926236, -0.01904149231953555, 0.13442619074472015]","(1, 0, 0)","[0.35563752, 0.35522202, 0.35604265, 0.3536041, 0.35379648, 0.35270154, 0.35328928, 0.35320398, 0.35421726, 0.35564604]","(20, 4)",0.001
2,"[0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983895, -1.0903363316839298, 0.0034760161118827515, -0.4533940302952003]","[-0.43082662775437064, 0.17731593513395283, -0.04283398163207908, 0.042743769370385154, -0.43727602092387696, -0.33735659540750357, 0.24028322699393087, -0.25335060494919476, -0.5451681658419649, 0.0017380080559413758]","[-0.4318718576265493, 0.1771975047873242, -0.04278842931234833, 0.04269793247285296, -0.4366414611035937, -0.3371708170021622, 0.23957676748921078, -0.2522143569229542, -0.5437206869343758, 0.001728937521272618]","(1, 0, 0)","[-0.5764177, -0.5764176, -0.5764178, -0.57641786, -0.576418, -0.5764181, -0.57641745, -0.5764173, -0.5764174, -0.5764175]","(10, 2)",0.001
6,"[-0.44636705473443167, -0.5858983256588408, -0.04670123320214403, -0.4315147692400603, -1.1539384566024813, -0.7523691553776628, -0.5042279046399615, -0.932027973982331, -0.6918715971363356, 0.5467271394432461]","[0.0010313729759367507, -0.22318352736721583, -0.2929491628294204, -0.023350616601072016, -0.21575738462003016, -0.5769692283012406, -0.3761845776888314, -0.25211395231998074, -0.4660139869911655, -0.3459357985681678]","[0.0010550181949325632, -0.22830020167778484, -0.29986993735093204, -0.02388714172018902, -0.22071801426064006, -0.5912864490783505, -0.38582586291265564, -0.2586733094995677, -0.4788259011453501, -0.35574540332480664]","(1, 0, 0)","[0.03213406, 0.031591058, 0.029327296, 0.029571537, 0.033020608, 0.033310767, 0.03317345, 0.032015756, 0.031969063, 0.03278797]","(20, 4)",0.001
18,"[0.11905181999768466, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346847, -0.42785077952256617, -0.044661914785304374, -0.12727040099280668, -0.6944225303212876]","[0.536370186971364, 0.05952590999884233, -0.1696172896623016, -0.09758057190706138, 0.033125146209269596, -0.2600494721101577, -0.45081348081734235, -0.21392538976128309, -0.022330957392652187, -0.06363520049640334]","[0.5734907767677153, 0.06352555748104866, -0.1810084616597151, -0.10413042357568755, 0.03534639881393806, -0.27739788835573337, -0.4815150969992636, -0.2284834469280908, -0.0238398131064347, -0.06793504328874726]","(1, 0, 0)","[-0.0084126955, -0.0063642515, -0.006848964, -0.009233373, -0.006038512, -0.014224856, -0.046405036, -0.014004174, -0.013493958, -0.014218614]","(20, 4)",0.001
9,"[1.0535837885700705, -0.33337499323282527, 0.4417810577920261, 0.948923149053327, 0.36515722379366855, -0.10678649677451507, -0.487601024154544, -0.5022262835813633, -0.1807011802858115, 0.5934190742511569]","[0.31845205231186396, 0.5267918942850353, -0.16668749661641263, 0.22089052889601304, 0.4744615745266635, 0.18257861189683428, -0.053393248387257536, -0.243800512077272, -0.25111314179068167, -0.09035059014290575]","[0.31756547630831544, 0.5264336353876088, -0.16589478897290147, 0.219643221974298, 0.4724659358978977, 0.1817280936348268, -0.05311931505506766, -0.2425591361032486, -0.2500197073580266, -0.08995338550012812]","(1, 0, 0)","[-0.119382806, -0.119417146, -0.119429626, -0.11944212, -0.11945526, -0.11942838, -0.11945174, -0.11945912, -0.11946609, -0.119463794]","(20, 4)",0.001
12,"[-0.30196539615998846, -0.5204297999904746, -1.0299437044179371, -1.1792305257118265, 0.29756035740400644, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363, 0.39494622170586235]","[0.4617243269339339, -0.15098269807999423, -0.2602148999952373, -0.5149718522089686, -0.5896152628559133, 0.14878017870200322, 0.43315816628164, 0.047149913155517115, -0.01553860117055715, -0.051518990937316815]","[0.4660615740937869, -0.1518978024982508, -0.2619260021269764, -0.5192861361574379, -0.5963650422694565, 0.14977768526393587, 0.43647615699072456, 0.047448522179228174, -0.01563672263166636, -0.05184430150299213]","(1, 0, 0)","[-0.40558475, -0.4055837, -0.40558463, -0.40557876, -0.40558088, -0.40558088, -0.4055842, -0.40558556, -0.40558594, -0.40558606]","(20, 4)",0.001
