seed,Test,True,ARMA,Order,ARMA_Train_loss,ARMA_Valid_loss,Informer,Informer_para,Informer_lr
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.3515364947120362, 0.7600531802023252, 0.08491032840030058, 0.533711606261728, 0.8012351737868457, -0.04336317655117733, 0.13189172396026375, 1.0092400256955043, -0.03624595797918995, 0.8893233378370105]","(1, 0, 1)",0.32481211639561675,0.8444516952941855,"[-0.4464462, 0.83300525, 0.17797534, 0.29640847, 0.8331962, 0.029544506, -0.1255897, 1.1372801, -0.107259244, 0.5385218]","(10, 2)",0.0001
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5136396277399989, -1.2464698717270326, -1.2979803239075616, 0.29377342490523667, 1.0691443513668508, 0.040616698840862636, -0.9200082481592957, -0.5315664360103886, -0.4681143523903731, 0.5185710213231145]","(1, 0, 1)",0.3343094101075455,0.841890288003491,"[-0.6775954, -1.2736413, -1.3673606, -0.0027606562, 1.0382956, 0.21435013, -0.86437637, -0.674858, -0.32548234, 0.70022684]","(10, 2)",0.0001
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8576897098343016, 0.3319989323807135, -0.06692402556483584, 0.07385484416391533, -0.8567395105652378, -0.6931412183616504, 0.47046930323409075, -0.48624257875614485, -1.0959848052727756, -0.012398799387584647]","(1, 0, 1)",0.3481502951341368,0.7570742229326677,"[-1.0831431, 0.36160687, 0.13607389, 0.036777616, -1.0443673, -0.90237707, 0.45367062, -0.4142799, -1.2166883, -0.08122669]","(10, 2)",0.0001
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.7238853974568948, -0.3497037715958806, -0.26772905013383363, -0.18821813994469666, -0.5463150885783582, 0.541396526332848, -0.3381002457133345, 0.5047940832650756, -0.2884988342971108, -1.0541558715376902]","(4, 0, 0)",0.30529644390181504,0.6700143773502604,"[-0.7211678, -0.5601963, -0.20517127, -0.07650584, -0.54349387, 0.47772318, -0.124461, 0.5758327, -0.07179354, -1.0398115]","(10, 2)",0.0001
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9699537754576424, 1.1794789187339474, -0.017569832171049293, -0.6130596222381471, 0.2341765106376515, 0.2531196186298235, -0.33295020513649554, -0.21082381161582514, 0.24190105260204575, 0.48843126129776415]","(1, 0, 1)",0.32164970665972764,0.7405272264652237,"[0.86791086, 1.1381402, -0.24680403, -0.9315329, -0.20546475, 0.13517232, -0.5181843, -0.41917682, 0.10142481, 0.44167337]","(20, 4)",0.0001
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.603661192663895, 1.065989013417847, -0.3811354010148404, 0.4835129951246898, 0.9230520248188157, 0.35068888929126196, -0.11358450702450118, -0.48717316580235026, -0.49227579072540434, -0.1706474034698952]","(1, 0, 1)",0.33389666894153924,0.7792373305310422,"[0.7822179, 1.041705, -0.20742318, 0.27324116, 1.1202446, 0.57343405, -0.18249628, -0.61714256, -0.48468155, -0.10248223]","(10, 2)",0.0001
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[0.004034793877090728, -0.8787392089450746, -1.2130364601319874, 0.2958729519201736, 0.6200724919774921, -0.070575898912465, -0.42082796937832384, -0.1508314277896948, -0.9849562561001048, -0.9125697541262914]","(1, 0, 1)",0.3329758061607729,0.7058206732284145,"[0.25031686, -0.93282753, -1.3663553, 0.2747741, 0.76802176, -0.159034, -0.7865798, -0.16902885, -1.0690203, -1.109433]","(10, 2)",0.0001
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.09419299682851442, 0.8860153173809249, 0.823106788252711, -0.5614352958045419, 0.22676202818176466, 0.5460424618533778, -0.5099933158012966, -1.2068320703851705, 0.17217947581389742, 0.21527328740983373]","(3, 0, 0)",0.3200663361671507,0.9095140309503433,"[0.1400634, 0.9804468, 1.013656, -0.42379403, 0.09234164, 0.67970127, -0.41076812, -1.1413523, 0.01287023, 0.30648014]","(10, 2)",0.0001
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.966240185001373, -0.3693738498782564, -0.5320724575846888, -0.9266341174501347, -1.185860563855205, 0.29383053831942574, 0.8368970819565598, -0.028227886069078445, -0.0511780106430177, -0.026445815021737692]","(3, 0, 0)",0.3253085085579828,0.6585584897363838,"[1.2531313, -0.1809844, -0.7895745, -0.95572555, -1.0578477, 0.13791816, 1.0108391, -0.015546266, -0.36060315, -0.2609422]","(10, 2)",0.0001
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.6203470882431865, 0.1503671843501393, 0.5183586615072102, 0.036524796790873004, 0.18940374464835297, -0.2848970962852903, -0.9046692953751466, 0.5052331884199597, 1.0645632101553097, 0.14375717093606066]","(4, 0, 0)",0.3342280266547039,0.8355932512134876,"[0.7519237, 0.22691053, 0.4245414, 0.094194666, 0.112173796, -0.250597, -0.9884841, 0.4543527, 1.0855922, 0.191597]","(10, 2)",0.0001
