seed,Test,True,ARMA,Order,ARMA_Train_loss,ARMA_Valid_loss,Informer,Informer_para,Informer_lr,RNN
2,"[0.42351003518347574, 0.12974535061302717, -0.0031704288262061064, -0.8531350510317144, -0.6960850755001997, 0.6992044644498002, -0.33802291219463776, -1.2104779451808954, 0.1301513185864801, -0.18080994737421785]","[-0.36194846283880056, 0.39272924901113815, -0.1314919491990555, 0.06416076018642469, -0.45864790560906954, -0.11871858494556509, 0.40896152469768265, -0.3734922184461602, -0.4184928633673676, 0.27432209097692384]","[-0.35161819924178433, 0.3750546674275113, -0.11836964808924998, 0.05563851098038433, -0.4384115056589004, -0.12418923207371957, 0.39826699612497485, -0.355096743463089, -0.41356648648298217, 0.26323082959675365]","(0, 0, 1)",0.34802475382259035,0.4173848330532743,"[-0.48006752, 0.3725012, -0.025207851, -0.047791693, -0.5234056, -0.20505582, 0.46687773, -0.35179952, -0.541225, 0.11227074]","(10, 2)",0.0001,"[-0.48403775691986084, 0.2215178906917572, 0.0660751461982727, 0.025142788887023926, -0.5761231184005737, -0.08924412727355957, 0.2344198077917099, -0.113944411277771, -0.6791703104972839, 0.175388365983963]"
4,"[0.8966654802426408, 0.23923482266421692, 0.3118285240622578, 0.794805631159718, -0.1307736272966581, -0.10044566506520658, 1.0022870995649287, 0.0059441649197329305, 0.5794011579096328, -0.4282754600550387]","[-0.03939659784008054, 0.4680310390413607, -0.11439810818857188, 0.21311331612541484, 0.2908461575171516, -0.21080989240690484, 0.05518211367084913, 0.4735524929470398, -0.23380416401365345, 0.4066026609616431]","[-0.02266500542593982, 0.5072643524053161, -0.1476492606648394, 0.2528257288048484, 0.29861951963787536, -0.2369543384122811, 0.07524568448473154, 0.5119872012923852, -0.27883203982234994, 0.4709968005243092]","(0, 0, 1)",0.3263352093820358,0.4450698079118433,"[-0.18444884, 0.46020916, 0.093028896, 0.020126976, 0.15908942, -0.20263848, -0.022618286, 0.5260365, -0.13318905, 0.22612077]","(50, 10)",0.0001,"[-0.009221389889717102, 0.3141149878501892, -0.03627680242061615, 0.22874815762043, 0.29519981145858765, -0.20964647829532623, 0.09108926355838776, 0.31373247504234314, -0.14364905655384064, 0.3137321472167969]"
1,"[0.9951339748308184, -0.27150072825643334, -0.909089881411183, 0.24760075149267247, 0.4047315381455181, -0.3966600249072817, -0.2723866500530834, 0.3286727823240361, 0.5431202452677627, 0.8270133505052251]","[0.29958452217912546, 0.3477747263258465, -0.3096377272911399, -0.2997260770600215, 0.273663414276347, 0.06553406193458555, -0.23109704342093362, -0.020644803316074878, 0.17465879282005548, 0.1842307262238536]","[0.29642533631320983, 0.34250049727327475, -0.3003477435738149, -0.298211290200812, 0.2677326440489224, 0.06717020007291918, -0.22770433344856608, -0.021933948951702333, 0.17215068647555648, 0.18223283610019222]","(0, 0, 1)",0.3218545663432947,0.41868903188865497,"[0.21632743, 0.18815851, -0.23330516, -0.60755384, 0.121137, 0.09116398, -0.27237287, -0.21096155, 0.0906588, 0.108781494]","(50, 10)",0.0001,"[0.30852678418159485, 0.3231264650821686, -0.3656466603279114, -0.2721739113330841, 0.22869053483009338, 0.1449674665927887, -0.26037266850471497, -0.10731005668640137, 0.22441652417182922, 0.21809121966362]"
6,"[-0.31621842619985396, -0.5864140121468092, 0.06489053048146387, -0.2850401878253501, -1.1422631483019452, -0.6444904630676477, -0.21574329048934116, -0.7439356851379153, -0.5658146209763453, 0.7797341329388289]","[0.13118000151051445, -0.2236992138551842, -0.1813573991458125, 0.12312396481363819, -0.20408207631949415, -0.4690905359912255, -0.08769996353821108, -0.06402166347556504, -0.33995701083117513, -0.11292880507258507]","[0.12984269212968927, -0.22024125229110617, -0.180857251145891, 0.12146213151857232, -0.20074603268891744, -0.46584921391242795, -0.08840848896671022, -0.06308008644503205, -0.33745194840309206, -0.1131747450486128]","(0, 0, 1)",0.3385874254013562,0.4522582535963844,"[0.21434005, -0.1734016, -0.25748447, 0.22417913, -0.11935463, -0.44806647, -0.071081884, 0.0818335, -0.34416494, -0.132294]","(10, 2)",0.0001,"[0.20477038621902466, -0.052877604961395264, -0.33503592014312744, 0.22273951768875122, -0.024350523948669434, -0.5255622267723083, -0.33632510900497437, -0.057615816593170166, -0.34730666875839233, -0.2935912013053894]"
7,"[-0.5268640879587638, -0.11820934313050402, -0.07386267594862261, -0.5519011319954408, 0.6205089906865696, -0.23386804075909084, 0.43742930755417897, -0.2726061796862508, -1.2605191123064494, -1.256995795048975]","[-0.48064919394393457, -0.023107447007414628, -0.047550948061544696, -0.013155863943538959, -0.2693726340259509, 0.44494081235626026, -0.33940442655767555, 0.38841686705592726, -0.330511523371089, -0.46500379446768025]","[-0.42809736780793156, -0.04307285457758213, -0.032830864754863825, -0.017929985431206615, -0.23331982410069277, 0.37165205544779123, -0.26190927666675384, 0.3011387819594771, -0.24593769169724577, -0.4380157431642442]","(0, 0, 1)",0.3099330520149944,0.40380029863275047,"[-0.49682802, 0.078933924, 0.23845614, 0.2114049, -0.18241708, 0.47621524, -0.19848007, 0.44132137, -0.105573654, -0.4184032]","(10, 2)",0.0001,"[-0.41225486993789673, -0.035578224807977676, 0.09559258818626404, 0.06441463530063629, -0.22930972278118134, 0.30587396025657654, -0.30020084977149963, 0.23266761004924774, -0.29104697704315186, -0.32667776942253113]"
3,"[0.4849530576289066, 0.8477629219916448, 0.6167423818470096, 0.9165912095961827, 0.7835770484774259, -0.5748039370996492, -0.8757701062105825, 0.4976877028562986, 0.42039255118728835, -0.6338835119761026]","[0.4596097801289448, 0.012671638749980896, 0.41754564162083196, 0.09959837011308881, 0.40849641974154693, 0.1875403143679395, -0.38117212573379433, -0.24729899023839408, 0.37249334654734634, 0.02394960231997101]","[0.443618758786375, 0.01996765514065355, 0.39912042957590504, 0.10483326789331238, 0.3914652774868703, 0.1890737973093535, -0.36904460720945825, -0.2449411384369999, 0.3592248107823961, 0.029577538226195008]","(0, 0, 1)",0.3398746049118443,0.4200509274421507,"[0.22669798, -0.034622163, 0.1870187, 0.16753095, 0.40327162, 0.30318534, -0.20548804, -0.3679216, 0.31566975, -0.14254946]","(50, 10)",0.0001,"[0.3531992733478546, 0.14316143095493317, 0.3174910843372345, 0.21846194565296173, 0.3149162232875824, 0.2751862108707428, -0.5316179394721985, -0.2543960511684418, 0.2902704179286957, 0.12174135446548462]"
9,"[0.8838993591237497, -0.4926010193887572, 0.17838511064950846, 1.0322668973615334, 0.25471195934566204, -0.3440172840378468, -0.5788903301029611, -0.4755296593877346, -0.058800924247175534, 0.7189756451464978]","[0.14876762286554313, 0.3675658681291033, -0.43008344375893026, 0.30423427720421936, 0.364016310078657, -0.05465217536649747, -0.14468255433567467, -0.2171038878836432, -0.1292128857520457, 0.035205980752435084]","[0.139039156256666, 0.3939049273101235, -0.46635123823312036, 0.33710871335742587, 0.364976489916619, -0.05813690066246145, -0.15073424448494224, -0.2258370172881809, -0.1317396067213363, 0.03849066908978768]","(0, 0, 1)",0.3341871375681812,0.4150233304093018,"[0.3616401, 0.46902567, -0.17176813, 0.2233857, 0.4321732, 0.090475924, -0.18837763, -0.2440433, -0.21939184, 0.026877835]","(50, 10)",0.0001,"[0.11914682388305664, 0.30874937772750854, -0.3929276466369629, 0.26488110423088074, 0.4038156270980835, -0.06217280030250549, -0.21729649603366852, -0.17923849821090698, -0.12033241987228394, 0.1513187289237976]"
8,"[-0.4191855204054681, 0.024981535167735824, 0.8505599224056731, 1.0743062661301004, 0.557802672515206, -0.5818377416103288, 0.057305412215663654, -0.6500463010581282, 0.21809273195700196, -0.4771992702457476]","[-0.07812033909938243, -0.17053259065304283, 0.09775706291038933, 0.3764014297476419, 0.34895241819122924, 0.10442512716198837, -0.34313143438615856, 0.2002184233009111, -0.42513236217951966, 0.3216125470682608]","[-0.07691307733504538, -0.17026036236243103, 0.09716133762474455, 0.3751698755139096, 0.3485668077411039, 0.10441143145117017, -0.3425550308255735, 0.19912864562286622, -0.4216552326325907, 0.3159362808877143]","(0, 0, 1)",0.35339360286100147,0.4391853285611964,"[0.005888939, -0.29300663, -0.020993248, 0.3428387, 0.30809662, 0.13397929, -0.28749686, 0.19777972, -0.3137324, 0.3010208]","(10, 2)",0.0001,"[-0.0762048065662384, -0.1560826599597931, 0.08551017940044403, 0.3565208315849304, 0.3388430178165436, 0.23525263369083405, -0.35276105999946594, 0.1748279333114624, -0.34193333983421326, 0.2733909487724304]"
10,"[-0.8056778954780552, -1.2162956241872718, 0.511634133123005, 0.9284876771866125, -0.14150907611084762, -0.5785484719475553, -0.1361908024668702, -0.87925169279656, -0.8807706273612401, 0.3036539019109433]","[0.07599618948622977, -0.4408370424821425, -0.3877292908525647, 0.44968171198778484, 0.23940298259941384, -0.19045602935513073, -0.1940462212962123, 0.028927709414671043, -0.45408970110561553, -0.2133404631278123]","[0.07584603290384717, -0.4420124982796272, -0.38878048260825493, 0.4519931070198865, 0.23918392391365903, -0.19161234296822133, -0.19482977590399567, 0.02953249789448586, -0.45736618436328313, -0.21302843733849866]","(0, 0, 1)",0.3334387821944809,0.41092001646071696,"[0.22910286, -0.5862154, -0.47109935, 0.3917177, 0.30485395, -0.2520337, -0.45009783, 0.08962755, -0.5439356, -0.22120456]","(10, 2)",0.0001,"[0.08338382840156555, -0.5356476902961731, -0.3618878126144409, 0.4665282070636749, 0.09608450531959534, -0.10297879576683044, -0.2756064832210541, 0.025415629148483276, -0.5356476902961731, -0.23829835653305054]"
12,"[-0.4020989943396759, -0.7512919634574415, -0.9544523553779399, -1.0491230757142078, 0.5550462835084907, 1.1611239639912365, 0.01990973696003262, -0.2476562854819343, -0.1266129384523922, 0.40271552229114094]","[0.36159072875424647, -0.3818448615469612, -0.18472355095524018, -0.3848644022113499, -0.33212933675142897, 0.44358781012995985, 0.3587680769306384, -0.16942916998530289, -0.03911355774831571, -0.04374969035203824]","[0.3620905994477498, -0.39107766217158885, -0.1843209744497756, -0.39457146196353665, -0.3356281822224721, 0.4568020954266413, 0.36156218886351366, -0.17573094107362602, -0.036995265956935586, -0.046102069007963084]","(0, 0, 1)",0.32620115618004775,0.4065602223907054,"[0.43744957, -0.3447484, -0.33563718, -0.31467682, -0.4217486, 0.3498238, 0.43218404, -0.26896647, -0.1793936, 0.09791442]","(50, 10)",0.0001,"[0.465641051530838, -0.28940802812576294, -0.09649679064750671, -0.40140995383262634, -0.40140995383262634, 0.5227932929992676, 0.4314010441303253, -0.09415969252586365, -0.19146348536014557, -0.08900612592697144]"
11,"[1.0098382919500157, 0.8607676953171579, -0.7442352307318566, -0.02427004013790257, 0.5666404821520405, -0.5033617365569654, -1.316322639775194, 0.22408554656366797, 0.4999534856344804, -0.9276791913772677]","[0.24815955169222392, 0.3808393701288959, 0.239964162594131, -0.4920996966629938, 0.23391482826254562, 0.16636282694474747, -0.3348622817508564, -0.49073017901216875, 0.35740786278791836, 0.07127281142328101]","[0.2501131024898679, 0.38147828963801766, 0.24148573780985225, -0.4956347809076587, 0.23576136875802586, 0.16585502830166404, -0.336476757406133, -0.4935628527581439, 0.3605601714850418, 0.06997745202400461]","(0, 0, 1)",0.32034937449868156,0.4530936662573108,"[0.22938578, 0.44142902, 0.18037188, -0.4638965, 0.28877944, 0.36977535, -0.3244235, -0.4284898, 0.51395905, 0.14187755]","(10, 2)",0.0001,"[0.3054737150669098, 0.2470468431711197, 0.2701168656349182, -0.4962270259857178, 0.27116191387176514, 0.12112673372030258, -0.3869685232639313, -0.520784854888916, 0.49591073393821716, 0.027742980048060417]"
5,"[-1.0545609498970343, -1.1969601556198888, 0.5841279137335714, 1.4230923992410518, -0.0014656490849164205, -1.2038045272057758, -0.5756614292447556, -0.24025509088216357, 0.6435610628824887, -0.4934824011093024]","[-0.055580649225446144, -0.499490150335794, -0.3487350026420474, 0.4664314581878094, 0.47833047052662125, -0.23989805980576884, -0.48195323370000354, -0.046854097772376035, -0.09670049655489377, 0.37013077971869124]","[-0.05872550852476283, -0.5093615573671579, -0.3521330429246733, 0.4796801150235684, 0.4843837229921414, -0.24982911021373014, -0.4916735564443857, -0.043308653130294104, -0.10163952706767913, 0.3840003903540679]","(0, 0, 1)",0.3345743010952454,0.4416578313202728,"[-0.015267894, -0.5108452, -0.28115606, 0.4882576, 0.53868824, -0.17880656, -0.5152186, 0.018037386, 0.059129186, 0.6155593]","(10, 2)",0.0001,"[-0.06829994916915894, -0.47320815920829773, -0.3137185871601105, 0.41217711567878723, 0.37545642256736755, -0.3812148869037628, -0.45387059450149536, -0.08714181929826736, -0.0853927880525589, 0.2974264323711395]"
14,"[-0.33025614432025985, 0.13549844949279388, 0.5408585234850544, 0.6080281671947659, -0.21470180963729968, 0.24138548602028675, 0.31480170352024717, -0.42135830136878905, -0.8976503756217369, -0.6481949570498221]","[-0.3979186246812758, 0.03383124018050798, 0.05083360465614295, 0.2450124594144557, 0.1815078538901551, -0.1981048317637274, 0.21974515889200708, 0.047528272314120046, -0.23444328684145455, -0.33160354439014117]","[-0.393306306234167, 0.030881302720352756, 0.0512448977026284, 0.23982724742823194, 0.18041135281539494, -0.1937132641023465, 0.2129085595241206, 0.049853256334241904, -0.2309121144674292, -0.32707891970789293]","(0, 0, 1)",0.3014143817749282,0.36625157947547377,"[-0.2641121, 0.046499774, 0.2909801, 0.30634964, 0.18387362, -0.2193889, 0.29197127, 0.15464436, -0.28288954, -0.40298697]","(10, 2)",0.0001,"[-0.46547675132751465, 0.027417905628681183, 0.11683762818574905, 0.21685132384300232, 0.20190221071243286, 0.0032756999135017395, 0.2248167097568512, 0.09487257152795792, -0.13511085510253906, -0.3184952735900879]"
13,"[0.032312533650722064, 0.34332891387754993, -0.010830129326688698, 0.08284385620136991, -0.3090454140410942, -0.9437440650188372, 0.6128144741785202, 1.3318668131959224, -0.011078136321035381, -0.7164119295049222]","[0.1554868958964405, -0.061587181122859214, 0.20245804750020457, -0.10664408841344664, 0.09474397230740828, -0.20189469317425124, -0.370924685922293, 0.4918695800504066, 0.41999861657275794, -0.21553837644689666]","[0.15515209684540787, -0.0616780515342092, 0.203357226436121, -0.1074513813849934, 0.0954278131603561, -0.20268107620434134, -0.37196589178343703, 0.4934871455239203, 0.4208808018561613, -0.21747986852064977]","(0, 0, 1)",0.33549347375975885,0.4224944298748183,"[0.2645145, 0.09439419, 0.27807164, 0.068192944, 0.18317541, -0.06251946, -0.38179868, 0.43493217, 0.40469122, -0.12611106]","(20, 4)",0.0001,"[0.28099876642227173, -0.1408252716064453, 0.2213795781135559, -0.1408252716064453, -0.05972974747419357, -0.1408252716064453, -0.1408252716064453, 0.37469029426574707, 0.6135615110397339, -0.1408252716064453]"
