seed,STD,True,ARMA,Informer,Informer_para,RNN
15,1.3674170656407867,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.452616209214033, 1.5766792051359406, -0.6501895378176186, -1.1402602649260716, 0.32905387248597995, 0.013888658901490259, -0.1276943853127383, -1.1097382782745002, -1.1645264933805102, 1.0720202706298756]","[0.61831075, 1.9380984, -0.9660659, 0.14770846, 2.027469, 1.4985958, -1.3887824, -1.0343195, -1.6396285, -1.134274]","(50, 10)","[0.4463177025318146, 1.5586849451065063, -0.6817572116851807, -1.3579930067062378, 0.39535263180732727, -0.01198616623878479, -0.07797184586524963, -1.2814124822616577, -1.2300772666931152, 1.0427231788635254]"
24,1.3854231796666425,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[0.106581114, -1.8513808, 0.8469621, 0.3975598, -0.6252971, -0.97703075, -0.2879195, -1.1922596, 0.41009647, 1.032751]","(50, 10)","[-0.12704508006572723, -0.9729199409484863, 0.9515912532806396, 0.8686106204986572, -1.5701611042022705, -1.3258399963378906, -1.034440517425537, 0.06835910677909851, 1.41737699508667, 1.6518948078155518]"
28,1.3531322576264235,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075809833349, -0.010083503945174377, -0.11412976140365327, -0.08651596914252752, 0.09020151778366658, 0.2651784074899317, 0.010131085107810134, -1.9771454024180148, 0.9265166918163132, 0.28213090777945427]","[-0.20820494, 1.2273486, 0.43771216, -0.90939796, -0.56120265, -0.5107381, 0.06260067, -1.6245936, 0.75618666, -0.040756065]","(50, 10)","[0.5907405614852905, 0.06909327208995819, -0.24161465466022491, -0.16142530739307404, -0.010552123188972473, 0.23058627545833588, -0.06435741484165192, -1.9768130779266357, 0.8889192938804626, 0.21869628131389618]"
4,1.3017570981868325,"[2.067124107644449, 2.5686384206666197, 1.548636252558472, -1.8934739577779094, -3.0603493921538383, -1.5460546475415136, 1.6060580025500382, 1.0334052925338875, 0.1531615255673301, -0.9281370649952224]","[-0.6934151272640436, 2.3776218575252788, 0.7741830902158584, 0.3963862696822936, -2.2678525610233167, -1.3138441467792836, -0.02747901729369928, 1.8765519377017443, -0.26561020302204796, -0.041675644605451284]","[-0.06323052, 1.7099257, 1.2393812, 0.78715396, -0.761894, -1.3691441, -1.3513453, 2.2551053, 0.8978249, -3.101913]","(50, 10)","[-0.6018624305725098, 2.4121251106262207, 0.8189252614974976, 0.33944329619407654, -2.0436649322509766, -0.8061227202415466, -0.2697792947292328, 2.0680623054504395, -0.2763771116733551, 0.06318256258964539]"
25,1.421786634311913,"[1.080499510070525, 2.050462369521346, 1.1660135123636166, -0.11025214627619051, -0.8275167082373214, 0.29475418043174917, 0.8726591148291903, 1.0289695655039972, 1.7528068465108266, 2.38007842498586]","[1.3557094127976588, -0.029052082451668126, 1.4487197991807568, -0.11672111117880979, -0.5354971588010836, -0.5782910618128979, 0.4994290488421691, 0.36414371129540474, 0.4366384865607027, 1.0805702505069752]","[1.2447314, -0.9513975, 0.68395436, 0.5174623, 0.054766446, 0.043040756, 0.7737282, 0.9646711, 0.8999174, 1.5035186]","(50, 10)","[1.5553736686706543, 0.01077837124466896, 1.6115845441818237, -0.06115153059363365, -0.5564917922019958, -0.508350670337677, 0.8651891946792603, 0.5452714562416077, 0.5944092869758606, 1.13108491897583]"
14,1.4203815328481737,"[0.5056551689111879, 1.2698229884982295, 1.8669604770978578, 2.0663476828423546, 0.21897598581297573, -0.9528005740642272, -0.41287904739377845, 1.4393575748899095, 0.9622441119074492, 1.907505078818939]","[-0.494741129151717, 0.47585247699479916, 0.7074911636972763, 0.9508549249380589, 0.8752020115777207, -0.8486568578051596, -0.7429827043237693, 0.04827931339529773, 1.2949362873708512, -0.14636257782953532]","[-0.7974873, 1.0940095, 1.9314435, 2.1594813, 2.129606, 2.2398694, 0.99303293, 1.4561011, 1.2056584, -0.37039348]","(50, 10)","[-0.5302081108093262, 0.3894440233707428, 0.6127155423164368, 0.8566039204597473, 0.766905665397644, -0.9593978524208069, -0.6668976545333862, -0.01104336604475975, 1.234966516494751, -0.06747230887413025]"
11,1.3641026369408926,"[1.220552242568979, 0.6384145957159848, -0.7898802092302276, -2.361363135025176, 0.13285202098126514, -0.1970077243723518, -0.0760779511015095, 0.10149436886419005, -0.7202119635367813, 0.23930190935999962]","[0.6584036723005278, 0.7042699585964356, -0.01359942979104134, -0.8429349597469535, -1.5579635429651244, 1.3253469064603598, -0.7607175112679561, 0.2957255648385991, -0.01640157604546212, -0.6518739327966119]","[1.055113, 2.3558166, -0.7834152, 0.005802598, -1.4248605, 1.2387658, -1.4473577, -0.51896095, 0.36945352, -1.7797298]","(50, 10)","[0.8943330645561218, 0.7539851069450378, -0.10723996162414551, -0.9351143836975098, -1.105339527130127, 1.0066711902618408, -0.8442646265029907, 0.22086119651794434, 0.4313364624977112, -0.5918522477149963]"
19,1.3632227915746795,"[-0.7112980372260169, 0.5369460039820787, -0.2239064927329748, -0.6714163521295253, 0.15471560840418275, 1.626880414522232, 1.7047193560827267, 0.47754033762371034, -1.840320257066993, -0.9194332307565033]","[-1.454298790492691, 0.0624549902523136, 0.669018961881592, -0.5750900989990226, -0.3502980217424175, 0.44819568901649687, 1.2708731445751178, 0.6446279925355589, -0.2770818606459697, -1.7052968532178858]","[-1.4173471, 0.5054448, 0.8875661, -0.31107908, -0.12140045, 0.16106857, 0.18895917, -0.20813577, 0.26066804, 0.94856584]","(50, 10)","[-1.0538727045059204, -0.42459794878959656, 0.6833661794662476, -0.5793472528457642, -0.2860637903213501, 0.4651913642883301, 1.301572322845459, 0.7457941770553589, -0.7284529209136963, -1.5798065662384033]"
20,1.3260074201494974,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.07759395, 0.7184055, -1.4972862, -3.009973, -2.0327156, 0.7136837, 0.9536192, -1.7398543, -0.53318644, 1.8402312]","(50, 10)","[0.542118489742279, 0.4946287274360657, -0.7696859836578369, -2.1761586666107178, -1.116194248199463, 1.024181842803955, 0.26589757204055786, -0.8850857615470886, -0.10275650769472122, 1.5672935247421265]"
16,1.3568388375030296,"[0.5152276739766124, 0.144524383745533, -1.0183953636576761, -1.9749354802841095, -1.5787766719451315, 0.25751307478105334, -0.44708157882728417, -0.674185560798419, -1.6529463550583572, -2.02131055789495]","[-0.8583976403339317, 1.3774064495241565, -0.5847352604522926, -0.8830946506855164, -1.1174226432188172, -0.4474524297685868, 0.7383639017290176, -0.9334105354121602, -0.27107179646351903, -1.1784688823175045]","[-1.1127076, 1.7493196, -0.8198104, -0.64366126, -0.38547513, -1.735332, -2.3578136, -2.442725, 0.9357037, 0.8790023]","(50, 10)","[-1.1300183534622192, 1.3610304594039917, -0.5480205416679382, -0.8113820552825928, -1.1014559268951416, -0.3356768488883972, 0.7840530872344971, -0.6698986291885376, -0.3433982729911804, -1.174325942993164]"
