seed,True,ARMA,Informer,Informer_para,RNN
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[-0.03298172, 0.039005306, 0.26032183, 0.8033669, 1.3195183, 1.839117, 0.60193324, -1.2347131, -0.3579558, 1.1002442]","(50, 10)","[-0.5840141773223877, 0.19973832368850708, -0.15224675834178925, 0.4280661344528198, 0.9575490951538086, 1.334086537361145, -0.06270529329776764, -2.981375217437744, -1.110579252243042, 0.34096285700798035]"
9,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677749552682, 1.4923364637618968, -1.122379125503358, -0.5800851155402456, 1.193742103385336, -0.05870948624293382, -0.7418996493059715, -0.33151319434935506, 0.014819599365779701, -0.7975415092483881]","[1.5104693, 1.4692116, -0.9941986, -1.0142472, 1.5649209, 0.27722964, -1.5270369, -0.3679467, 0.18037395, -1.26442]","(50, 10)","[1.1644079685211182, 1.5646331310272217, -1.0804510116577148, -0.5474791526794434, 1.2803418636322021, 0.04317927360534668, -0.6988999843597412, -0.2888650894165039, 0.0818781852722168, -0.7454564571380615]"
2,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190144148019213, 0.7659468546665001, -1.0723893314947321, -1.0744256727534076, 1.433569264241069, 0.9164594307250928, 0.008543065285985252, 0.26322416574415114, -0.22021599527445368, -0.11102642785288429]","[-0.22214465, 0.07454632, -1.0666792, -1.2949541, 0.077713154, 0.7299442, -0.16939083, -0.07564956, -0.52768165, -0.1869149]","(50, 10)","[-0.13417233526706696, 0.4682311415672302, -0.932801365852356, -1.1922048330307007, 1.0835914611816406, 1.091436505317688, -0.14155103266239166, -0.06296862661838531, -0.42923998832702637, -0.13924656808376312]"
8,"[-0.1459271072689517, -0.39088531478562016, -0.38063486707447913, 0.08866428006592048, -1.0456591362723784, -1.7036151373825725, -2.0873723395931476, -0.6757411489484053, 0.29169593142698025, 0.310696188212238]","[-0.015614548841277082, -0.17930241731321095, -0.22761894312515607, -0.14237562011668342, 0.22756952080995563, -1.0422649249197877, -0.780998356589522, -1.0972750190895795, 0.37338283437187825, 0.23196248186598198]","[-0.33166048, -0.5825521, -0.7700061, -0.76479626, -0.52416766, -1.3020661, -1.4984422, -1.3929912, -0.11879405, 0.23073171]","(50, 10)","[0.1894504725933075, -0.28021323680877686, -0.13567689061164856, -0.2822803854942322, 0.4331154227256775, -1.1108394861221313, -0.6756142973899841, -0.9231110215187073, 0.543524444103241, 0.3518790006637573]"
4,"[2.067124107644449, 2.5686384206666197, 1.548636252558472, -1.8934739577779094, -3.0603493921538383, -1.5460546475415136, 1.6060580025500382, 1.0334052925338875, 0.1531615255673301, -0.9281370649952224]","[-0.6934151272640436, 2.3776218575252788, 0.7741830902158584, 0.3963862696822936, -2.2678525610233167, -1.3138441467792836, -0.02747901729369928, 1.8765519377017443, -0.26561020302204796, -0.041675644605451284]","[-0.06323052, 1.3403212, 0.83711505, 0.15316772, -1.1595168, -1.1314508, -0.07881698, 0.7291919, -1.0940382, -0.7116242]","(50, 10)","[-0.5013954639434814, 2.32684063911438, 0.7979281544685364, 0.48660188913345337, -1.9899086952209473, -1.451913833618164, -0.1677139699459076, 1.950322151184082, -0.5248510241508484, 0.3851836621761322]"
18,"[1.0769444597298259, 1.1508178764839934, 1.1314012156091628, 0.6194191172025649, 0.19605842238177193, -0.03716624271710068, 0.07530562557817477, 1.092841581901716, 1.1164179633444207, 0.13578519206867418]","[0.4117106664196146, 0.7917234443298445, 0.515647929305666, 0.6743155056413788, 0.11438905252983732, 0.06183295655714788, -0.07086837975205845, 0.11045460674032039, 0.9610033282279935, 0.4104029711079279]","[0.63405716, 1.0430096, 0.93567073, 0.55956614, 0.11057738, -0.24945548, -0.35228264, -0.09211407, 0.77469134, 0.2523682]","(50, 10)","[0.453797310590744, 0.8703296184539795, 0.45687344670295715, 0.6327478885650635, 0.1475810706615448, 0.12759098410606384, -0.07673206925392151, 0.11065754294395447, 0.9276224374771118, 0.40549948811531067]"
16,"[0.5152276739766124, 0.144524383745533, -1.0183953636576761, -1.9749354802841095, -1.5787766719451315, 0.25751307478105334, -0.44708157882728417, -0.674185560798419, -1.6529463550583572, -2.02131055789495]","[-0.8583976403339317, 1.3774064495241565, -0.5847352604522926, -0.8830946506855164, -1.1174226432188172, -0.4474524297685868, 0.7383639017290176, -0.9334105354121602, -0.27107179646351903, -1.1784688823175045]","[-1.1127076, 1.2803743, -0.5394259, -0.5514417, -0.5000141, -0.38108158, 0.09234992, -0.64194256, -0.18493219, -0.8608612]","(50, 10)","[-0.8964604139328003, 1.3715766668319702, -0.690680205821991, -0.653190553188324, -1.2061694860458374, -0.24161453545093536, 0.644474446773529, -0.8246864080429077, -0.20843644440174103, -1.0885365009307861]"
12,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[-0.463732, -0.52869856, 0.9521428, -0.5935289, -0.2716344, -0.76278144, -0.28682122, 0.19537775, 1.1030169, 0.8146679]","(50, 10)","[-0.21306410431861877, -0.5220120549201965, 1.190742015838623, -0.273123562335968, 0.26033374667167664, -1.0319195985794067, -0.00368422269821167, 0.7384053468704224, 0.9524804353713989, 0.8460925817489624]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[0.106581114, -1.2556552, 1.6825293, 1.1470826, -1.3972596, -1.9080899, -0.69628286, -0.22352608, 1.0195105, 1.6562743]","(50, 10)","[-0.223250612616539, -0.7342149019241333, 1.0528855323791504, 0.8286373615264893, -1.0990415811538696, -2.999033212661743, -1.24834406375885, 0.7063158750534058, 1.635587215423584, 1.643783688545227]"
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.07759395, -0.27373615, -1.2045295, -2.1046278, -0.7479675, 0.92066705, 0.66446614, -0.9432359, 0.17998727, 1.7831854]","(50, 10)","[0.33490443229675293, 0.42614293098449707, -0.8134214282035828, -1.6435928344726562, -1.117603063583374, 1.1957948207855225, -0.3338441848754883, -0.8092125654220581, -0.4877665042877197, 1.634141445159912]"
