seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[-0.13252205, 0.06929516, -1.4028348, -0.9659166, 0.7585139, 0.029880818, -0.4021288, 0.101032615, 0.56793016, 0.09173737]","(50, 20)",0.0001,"[0.6899548172950745, 0.4807606339454651, -1.7293140888214111, -0.9562849998474121, 0.17192603647708893, 0.10595335066318512, -0.7403625249862671, -0.5676236152648926, 1.3771231174468994, 0.2255096584558487]"
37,"[-0.7320107824784348, -1.334873221862436, -2.830270727999395, -2.171825700352501, -1.1699072417331753, -0.9083298934746911, -0.6531089742269618, 0.1716358428829503, 1.420182219659508, 1.505674042252934]","[-0.2849852189977527, -0.3586198509100228, -0.8806465713955552, -1.8900262181605831, -0.4361124281334561, -0.27270423012927714, -0.39270457700217143, -0.1858217861455479, 0.4259991456128711, 1.1052115674301346]","[-0.8559692, -0.9249501, -1.0693444, -1.5331341, -1.2719799, -0.6871891, -0.62553316, 0.09982434, 0.5067622, 1.5049247]","(50, 20)",0.0001,"[-0.3255378007888794, -0.4016963243484497, -0.9694228768348694, -1.7496297359466553, -0.5661810040473938, -0.2081025242805481, -0.3519824147224426, -0.2591227889060974, 0.2869904637336731, 1.1249594688415527]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[1.0011318, 1.4510937e-05, -0.6341819, -0.6328061, 0.12544537, -0.18269703, -0.83667487, -0.6747717, 0.94028807, 0.8059086]","(50, 20)",0.0001,"[1.0158634185791016, 0.17046692967414856, 0.09397390484809875, -0.815415620803833, 0.7221577167510986, -0.18055829405784607, -0.9300460815429688, -0.6281830072402954, 0.8422753810882568, 0.761277437210083]"
2,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190144148019213, 0.7659468546665001, -1.0723893314947321, -1.0744256727534076, 1.433569264241069, 0.9164594307250928, 0.008543065285985252, 0.26322416574415114, -0.22021599527445368, -0.11102642785288429]","[0.92729723, 0.7697925, -0.47424012, -1.0982256, 1.2757286, 0.5561741, 0.688135, 0.066792555, 0.11163428, -0.6653492]","(50, 20)",0.0001,"[-0.0034520626068115234, 0.4760379195213318, -0.7035984396934509, -1.3532965183258057, 1.0781725645065308, 1.0626447200775146, -0.05093628168106079, -0.021370291709899902, -0.3366832435131073, -0.19975492358207703]"
12,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[0.050137796, -0.45714283, 0.18402931, 0.32966718, 0.61950856, -0.23168527, -0.1654912, 0.9938098, 1.213409, 1.5528067]","(50, 20)",0.0001,"[-0.27235546708106995, -0.3180132210254669, 1.2530769109725952, -0.40442153811454773, 0.12490920722484589, -0.7348281145095825, 0.01537349820137024, 0.8443331718444824, 0.9629189968109131, 1.013840675354004]"
42,"[-0.06858052528652114, -1.9751580636656185, -2.034305230401492, -1.3042183002903787, -1.4179465516388512, -1.0646669975907521, 1.5073995488094774, 2.3797839958092455, 0.4982002654262605, -0.0017346807961412525]","[-0.2685296915967154, 0.06565910261822842, -1.7805181278289597, -0.620154301716403, -0.43043333500711806, -0.7865157732484593, -0.2974669693579119, 1.726179748188485, 1.0658881156080082, -0.5575718719782329]","[-0.25259873, 0.10165767, -1.71202, -1.2170737, -0.42761698, -0.63902444, -0.37881756, 1.1750776, 1.3016715, -0.8761389]","(50, 20)",0.0001,"[-0.06172674894332886, 0.09281498193740845, -2.030552864074707, -0.8648499250411987, -0.21340906620025635, -0.5187230110168457, -0.12560352683067322, 1.4836924076080322, 1.198094129562378, -0.5934797525405884]"
17,"[1.9776637326387456, 2.2808021325809653, 2.317044702502045, -0.7175141667587497, -2.1281041285195292, -0.8441584517729043, 1.7475194681679131, 1.3316694908239595, -1.3700210622760884, -1.811697341144787]","[1.156218373636755, 0.6947561258027226, 1.1927028964731252, 0.9360993840860329, -1.5657279365541836, -0.9571450470604014, 0.19501390176518796, 1.6099732135787765, 0.015507159076137977, -1.4957714905997983]","[1.5083818, 1.1771435, 1.4324956, 1.338641, -1.2605954, -0.91669136, 0.04114238, 1.322332, 0.3697375, -1.174968]","(50, 20)",0.0001,"[1.1682219505310059, 0.6610201001167297, 1.169295310974121, 0.871762216091156, -1.3901004791259766, -0.979978621006012, 0.09260571002960205, 1.6557366847991943, 0.015326201915740967, -1.496838092803955]"
4,"[2.067124107644449, 2.5686384206666197, 1.548636252558472, -1.8934739577779094, -3.0603493921538383, -1.5460546475415136, 1.6060580025500382, 1.0334052925338875, 0.1531615255673301, -0.9281370649952224]","[-0.6934151272640436, 2.3776218575252788, 0.7741830902158584, 0.3963862696822936, -2.2678525610233167, -1.3138441467792836, -0.02747901729369928, 1.8765519377017443, -0.26561020302204796, -0.041675644605451284]","[-0.81304723, 1.7107706, 1.2447481, -0.31127778, -1.6278898, -1.3858863, 0.41340652, 1.2438818, -0.6439326, -0.5721148]","(50, 20)",0.0001,"[-0.5889289975166321, 2.526508092880249, 0.8839532732963562, 0.44548672437667847, -1.9836978912353516, -1.0381181240081787, -0.040364861488342285, 1.8850650787353516, -0.4054751396179199, -0.06874161958694458]"
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[0.12713885, 0.0085652545, 0.53018475, 1.1124905, 0.7559231, 1.3783807, 0.9064694, -1.179634, -1.322682, 0.8527574]","(50, 20)",0.0001,"[-0.44876736402511597, -0.010839670896530151, 0.09305286407470703, 0.45622900128364563, 0.9512773752212524, 1.165287733078003, 0.030901044607162476, -2.327460289001465, -0.7693784236907959, 0.5078482627868652]"
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.11706729, -0.03242108, -1.2764764, -1.3877462, -0.4444063, 0.7422987, -0.05937543, -1.221145, 0.09380207, 1.1576164]","(50, 20)",0.0001,"[0.05470284819602966, 0.1862489879131317, -1.1119862794876099, -2.039912700653076, -0.8378850221633911, 0.8675433397293091, -0.05858448147773743, -1.1041713953018188, -0.2836757004261017, 1.590844988822937]"
3,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740566862, 0.24135002736395833, 1.05012781288705, -0.26500834712459487, -0.6084618280186398, 0.714278362613648, -0.3112934910452034, -0.17610509300283525, 0.31681727635132906, 1.4903414289545136]","[-1.3173112, -0.5583397, 1.2627095, -0.03676197, -0.6267479, 0.16224785, -0.089157656, -0.21597108, 0.603326, 1.1470368]","(50, 20)",0.0001,"[-1.310508131980896, 0.36945560574531555, 1.1448860168457031, -0.17441155016422272, -0.6105456948280334, 0.8396818041801453, -0.2596581280231476, -0.19653013348579407, 0.47110381722450256, 1.439703106880188]"
41,"[2.018166804797763, 0.26567622443363115, -0.9204996471380374, -1.0915786321448933, 0.09451775061611134, 0.31135675102023463, 0.4124258015615632, 0.7819182881710262, -0.06601750429049408, -1.0093415460830055]","[1.3271865846138056, 1.263780137117525, -0.7674561645015447, -0.6235334351298745, -0.48828947810733353, 0.5594706410122898, 0.05697221970524784, 0.2554370235623691, 0.4849397830804102, -0.4451383881405852]","[1.5457774, 1.763287, -0.71352714, -1.0114383, -0.6693556, 0.7413757, -0.081530355, 0.32889888, 0.66367674, -0.73393184]","(50, 20)",0.0001,"[1.0101311206817627, 1.1882023811340332, -0.745152473449707, -0.8874355554580688, -0.7059561014175415, 0.5644683837890625, 0.027012497186660767, 0.3890794813632965, 0.5045166015625, -0.5161330699920654]"
11,"[1.220552242568979, 0.6384145957159848, -0.7898802092302276, -2.361363135025176, 0.13285202098126514, -0.1970077243723518, -0.0760779511015095, 0.10149436886419005, -0.7202119635367813, 0.23930190935999962]","[0.6584036723005278, 0.7042699585964356, -0.01359942979104134, -0.8429349597469535, -1.5579635429651244, 1.3253469064603598, -0.7607175112679561, 0.2957255648385991, -0.01640157604546212, -0.6518739327966119]","[0.8764609, 0.5786886, -0.5578252, -1.3925346, -2.3256414, 0.5245917, -0.93358785, -0.0949382, -0.02292316, -0.8453174]","(50, 20)",0.0001,"[0.7136919498443604, 0.7511131167411804, 0.1909545660018921, -0.8383118510246277, -1.557138442993164, 0.8565422892570496, -1.0169689655303955, 0.3920927345752716, -0.1744299829006195, -0.5647603869438171]"
26,"[-2.137207159941018, -1.548716462312171, -0.4097235362139258, 0.09950230877584003, 0.3047697198963778, 0.3717224578572047, -1.0782700431902128, -0.9204881218738453, -2.2284802823007532, 1.6278903209138331]","[-0.48619488694345114, -1.6747748323959941, -0.338907236118058, -0.03060431472841682, 0.10041403696044433, 0.22427383995143632, 0.19228911946860272, -1.1309945845017988, -0.15645906534328202, -1.8486374035991957]","[-0.3519949, -0.95844334, 0.17858149, 0.62337494, 0.32452255, 0.6195946, 0.1278925, -0.8208203, -0.016827956, -1.1091082]","(50, 20)",0.0001,"[-0.602684736251831, -1.5487947463989258, -0.597813606262207, 0.16113996505737305, 0.14697003364562988, 0.20325303077697754, 0.20415019989013672, -1.2096338272094727, -0.2843911647796631, -1.5279479026794434]"
51,"[2.7801558908965927, 1.444691466795002, 0.22295876801519848, -2.5569285765859204, -3.1433200735719717, -3.4560790809189634, -1.0621860721879726, -0.43184800559919734, -1.6916701320538288, -1.5772351497153858]","[0.7766095537212697, 1.5092634389351196, 0.049015233025471394, -0.19471922016135285, -2.2825688398236044, -1.367981174414157, -1.8097561946364975, 0.5725625674728206, -0.2891420684701895, -1.3062478105663229]","[0.9663367, 1.0752658, -0.08477829, -0.70679206, -1.5126679, -0.99097824, -1.3848616, 0.29063207, 0.25207254, -1.345113]","(50, 20)",0.0001,"[0.6789497137069702, 1.810613751411438, -0.031588613986968994, -0.0548875629901886, -2.377568244934082, -1.2350823879241943, -1.6912004947662354, 0.03319042921066284, -0.4190378487110138, -1.2339460849761963]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[0.09174124, -0.70511115, -1.3373153, -0.8768193, -0.96341, -0.26034054, 0.82101303, 0.27126163, -0.6137818, -1.557041]","(50, 20)",0.0001,"[0.4897392988204956, -0.17382079362869263, -1.0720430612564087, 0.21164333820343018, -0.21555235981941223, -0.07700389623641968, 0.9103246927261353, 0.7159641981124878, -0.20052313804626465, -1.4628080129623413]"
36,"[-0.6109003502778931, -1.1962871269208912, -1.9284712114416345, -0.8369365861790452, 0.6752890852409565, 0.3457813541320848, -0.32961489457060145, -1.457281927215059, -2.0157293730145973, 0.548955056985752]","[0.968335967536242, -1.2523806504491404, -0.4622226711318654, -1.1407892849121728, 0.2068437794404978, 0.7695112767270815, -0.1356949080810666, -0.3459442232798006, -1.0383340428682573, -0.9692546161114881]","[0.8385553, -0.682627, -0.32766625, -0.71134424, 0.23049083, 0.96525407, -0.19857371, -0.06668763, -0.34379122, -0.67125714]","(50, 20)",0.0001,"[1.0158132314682007, -1.0965455770492554, -0.752699613571167, -0.9346311092376709, 0.6400606632232666, 0.578348696231842, -0.06260758638381958, -0.6536357402801514, -1.0734899044036865, -0.8861106634140015]"
