seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.3327561428414222, 0.12111451648966627, 0.5463644917748995, -0.6785486735095142, -1.2575501957391455, -0.5179874766887756, -1.1171239013123107, 0.012752969159173455, -0.6483271875957898, -0.03368463297977062]","[-0.2766522, -0.19826889, 0.2767499, 0.47328126, 0.21622983, 0.5576198, 0.70217746, 0.7176262, 0.55909663, 0.16765273]","(20, 10)",1e-07
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.5948152498654236, -0.5937533540765997, 0.5418733774480112, 1.086820285895824, 0.16402921507727805, -0.8828570837142912, -0.1321636204679449, 0.19543116170203384, -0.8971115762270553, -1.280670830232057]","[1.1253347, 0.5320834, 0.7694059, 1.0943013, 0.550932, -0.72428995, 0.20630872, -0.09348487, -0.94603693, -1.0529476]","(10, 5)",1e-07
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562054167728, -0.44087386506858367, -0.02580682038483445, 0.7396653743247106, 1.0699146335071688, 0.745375887986578, -0.3134613398035427, 0.24110934123485936, -0.7245192503544735, 0.2711808784019989]","[-0.32702374, -0.26909083, -0.053838715, 0.07064938, -0.32502103, -0.33395404, -0.21353315, -0.06952481, -0.32078683, -0.25120044]","(10, 5)",1e-07
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.6978165856457685, -0.39687937858956346, -0.28117573794918, -0.16640619750653485, -0.566541310893816, 0.5101610849902132, -0.34150562945256063, 0.5095542359975536, -0.3168562270006863, -1.0074545355569033]","[0.532027, -0.46333596, -1.0904777, -0.41622767, 0.47456095, 0.3752488, -0.73890543, -0.050746515, -0.016763777, 0.49699005]","(10, 5)",1e-07
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.2957821340223088, -0.5822200746238764, -0.19007800322369395, 0.3878953191706008, 0.553077147605244, -0.11403413882977267, 0.37524012535697004, 0.28260852182896223, -0.32127559977393694, -0.8151522626151926]","[-0.2763205, -0.3436368, -0.40667278, -0.17826535, 0.03416576, -0.33555877, 0.015286379, 0.2927121, -0.05955124, 0.30272]","(10, 5)",1e-07
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[-0.03175379969362867, -0.940653951225964, -1.2653142823100438, 0.2594863705123258, 0.5763880469818871, -0.14070811344472983, -0.482225804754541, -0.2004075621762907, -1.0438028266814567, -0.9741810202462273]","[-0.50438094, -0.30485117, -0.1952896, -0.4904427, -0.3773027, 0.34495234, 0.6753629, 0.1384592, 0.6077885, 0.96823955]","(20, 10)",1e-07
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.921245646506572, -0.31123202311865855, -0.5171372231070578, -1.0370334024508188, -1.1796341714789498, 0.3121635258608502, 0.8644278806058943, 0.08561912802661886, -0.028118921714333337, -0.10528980830587825]","[-0.18372768, -0.045143865, 0.23659572, -0.4647405, 0.014181798, 0.20893596, 0.4209184, -0.15091807, 0.025541259, -0.4207302]","(10, 5)",1e-07
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.144573628448405, 0.8322274744974258, 0.896800531930338, -0.5396231344256734, 0.2026977973951748, 0.4302227420879997, -0.45399147695971775, -1.2068817742185636, 0.11674927538940649, 0.19383106932366434]","[-1.2704166, -1.0531338, -0.9798367, -0.95064515, -0.7896882, -0.91112375, -0.51689875, -0.31739202, -0.60439426, -0.995674]","(10, 5)",1e-07
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1104534598955744, 0.12676081053071014, -0.35092955951927934, -0.20215282881239308, 0.0679426833498366, -0.5357489635441037, -0.9326292379544938, -0.443698098506785, -0.046471995893836715, -0.13128591813608165]","[-0.2692203, 0.021688703, 0.19356458, 0.46523356, 0.410188, 0.083064154, 0.1942004, 0.47414485, 0.7616624, 0.86338305]","(10, 5)",1e-07
22,"[0.33438651265842706, 0.8984919538709591, 1.255431644998678, 1.783500954397775, 1.239939248831758, -0.1801253960457755, -0.6709199658377545, -1.1298765987584993, -0.5347702735330219, -0.5966475730795737]","[0.49832583589606355, 0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.3697551710273763, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658247, -0.0803549371501095]","[0.5111764605487991, 0.07540392273303244, 0.8924021254758614, 0.8296765095275425, 1.413767661077231, 0.5406688384804088, -0.473114103070897, -0.4458538612631708, -0.9379882812463582, -0.05798354297832947]","[1.0433899, 0.8562197, 0.730958, 0.8601146, 0.81202215, 0.60557336, 0.8252033, 0.77726746, 0.20820373, 0.14710689]","(20, 10)",1e-07
