seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
71,"[0.9522399840519237, -1.169532400658353, -1.4476195133811665, -0.0609618985288381, 0.739031087695927, 0.5808766494264185, -1.7593410788728847, -2.721187982436676, -1.6816344238498644, 0.05833687127702186]","[0.39164914232123205, 0.6767825143080484, -1.9016089490266785, -1.008494172699406, 0.16790583222714459, 0.37983956194276436, 0.254648549897927, -2.1828808009545666, -1.9315248535749927, -0.7169187549569472]","[-0.39478853, -0.29064333, 0.13125488, -0.5758007, -0.8055087, -0.22115168, 1.011859, 0.80258256, 0.39679646, 1.0771827]","(10, 5)",1e-06,"[0.7080285549163818, 1.1545294523239136, -1.5060288906097412, -0.4418722987174988, 0.6223964691162109, 0.9707444906234741, 0.0013824999332427979, -1.9147427082061768, -1.3039220571517944, -0.03724128007888794]"
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247648068, 0.4698219345082759, -1.6626851620029504, -0.8958887084647407, 0.034380426488848315, 0.02966052934251042, -0.8313061040998451, -0.5600361804564857, 1.2627679725088021, 0.10868386380064404]","[0.77289677, 0.9086225, 0.6090423, -0.36970305, 1.031854, -0.30724657, -0.42944402, 0.15180932, -0.31218392, -0.92575073]","(20, 10)",1e-06,"[0.6351803541183472, 0.3826003670692444, -1.652238130569458, -0.8612041473388672, 0.22817714512348175, 0.21005626022815704, -0.8366050124168396, -0.5087894201278687, 1.3432179689407349, 0.2939077615737915]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670031473795, 0.04529501026842575, 0.03639834539490841, -0.8345627505104531, 0.6962977496439744, -0.31022366106360083, -0.7965547437521776, -0.49346087860094306, 0.8607952962745522, 0.8267061307900713]","[0.0025407188, -0.33319795, -0.123868644, -0.108741835, -0.3311568, -1.1240733, -0.11469197, 0.17616822, -1.480005, -1.0908556]","(20, 10)",1e-06,"[1.305235505104065, 0.05129943788051605, -0.08465322852134705, -0.6220287680625916, 1.113178014755249, -0.3312861919403076, -0.6109053492546082, -0.41755110025405884, 1.3449901342391968, 0.6723255515098572]"
11,"[1.220552242568979, 0.6384145957159848, -0.7898802092302276, -2.361363135025176, 0.13285202098126514, -0.1970077243723518, -0.0760779511015095, 0.10149436886419005, -0.7202119635367813, 0.23930190935999962]","[0.6584036722912792, 0.7042699585827898, -0.013599429780694006, -0.8429349598808948, -1.5579635437804682, 1.3253469069215842, -0.7607175107982964, 0.2957255648479219, -0.016401575231870434, -0.6518739329097704]","[1.5564164, -1.2685838, -0.7854685, 0.67513865, 1.1351353, -1.4210693, 1.1570003, 0.4784641, 0.45090148, 0.09203369]","(20, 10)",1e-06,"[0.6036321520805359, 0.6879743933677673, 0.13046246767044067, -0.7717277407646179, -1.657857894897461, 1.1216037273406982, -0.8600420355796814, 0.4522703289985657, -0.19277113676071167, -0.5142496228218079]"
29,"[-0.3838494298390033, -0.8209339735103687, -0.29288624789992923, -0.0011933479864128516, -0.21558756453364483, -0.17361018908784606, 1.3877131053933396, 2.1533300994088713, 0.6818409273858781, 0.9164525058305746]","[-0.6444171643997839, 0.13447758068553897, -0.7806610979507314, 0.28706017607093626, -0.09075704291852464, -0.15968475606164367, -0.04078152981859761, 1.3872118198624142, 1.0713009095790518, -0.3327560713623847]","[-0.7986196, 1.3601843, -0.8916594, -1.3331954, -0.16942309, 1.1663741, 0.9398863, 0.3289237, 0.09252024, -0.90717775]","(10, 5)",1e-06,"[-0.7116972804069519, 0.11432992666959763, -0.7629541158676147, 0.29279595613479614, 0.054608575999736786, -0.10972609370946884, 0.1508616805076599, 1.2876700162887573, 1.1320958137512207, -0.3359275162220001]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985267623644, -0.1717317678245011, -1.0501283735413984, 0.2202772120888099, -0.3100087292923801, -0.2157370514433389, 1.019769033183646, 0.7174272411991371, -0.21103755687461734, -1.5237013526230914]","[-0.71914786, -0.48606324, 0.24735147, -0.9922082, -0.5355798, -0.5881924, -0.44363502, -0.28446123, 0.63552624, 0.2675079]","(10, 5)",1e-05,"[0.5435768365859985, -0.14931891858577728, -1.1494706869125366, 0.14235445857048035, 0.33005598187446594, -0.07864168286323547, 0.9852246046066284, 0.9793974161148071, -0.5368520021438599, -1.483967900276184]"
2,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190238040876275, 0.7659522122325949, -1.072386934602351, -1.0744224453437088, 1.4336095082911093, 0.916461471586626, 0.008543820837583982, 0.26321959698273434, -0.22021574342317488, -0.11102777132492263]","[0.12574024, -0.12071049, -0.37762195, 0.018230902, 0.21996443, -0.6138092, -0.5608479, 0.492939, 0.5858704, -0.5847654]","(10, 5)",1e-06,"[0.026447460055351257, 0.5759492516517639, -1.018998384475708, -1.3223240375518799, 0.6043776273727417, 1.3493810892105103, -0.03399576246738434, 0.12204675376415253, -0.34739577770233154, -0.02055169641971588]"
3,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740179439, 0.24135002740936684, 1.0501278132602478, -0.2650083470348724, -0.60846182803119, 0.7142783634173533, -0.3112934914780493, -0.17610509252682344, 0.31681727730139553, 1.4903414300850981]","[0.95197755, 0.6148173, 0.436238, 0.6501666, 0.6073561, 0.90550154, 1.1063606, -0.038464997, -1.4537603, 0.032921206]","(10, 5)",1e-06,"[-1.3171169757843018, 0.23621690273284912, 1.0383453369140625, -0.19446898996829987, -0.6150636672973633, 0.6379644870758057, -0.29971280694007874, -0.0004935264587402344, 0.15698236227035522, 1.5811066627502441]"
70,"[1.1041198434913908, 2.498722261475809, 0.7070132528875621, -0.37924950941900215, 1.2425046147542027, 2.703513984021721, 1.785425395293896, -0.8307463292078725, -0.7578664514622202, 0.023382765994171464]","[0.878642419872848, 0.33478203387649896, 1.8273816201879332, -0.685617492837842, -0.16250260827240043, 1.424434009829409, 1.3099280986132325, 0.4490915287083167, -1.2184724637268043, 0.15454459946654092]","[-0.061547346, 1.0238086, 0.79338807, -0.76017004, 0.49890822, -0.33032924, 1.0258272, 0.56398046, -0.5118123, 0.6076268]","(10, 5)",1e-06,"[0.8713401556015015, 0.14054657518863678, 1.6784981489181519, -0.7120096683502197, -0.07051222026348114, 1.2628686428070068, 1.7084275484085083, -0.2067917436361313, -1.1248338222503662, -0.019710764288902283]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664351164239, 1.2091005915620994, 1.3073123432342597, 1.2267656013519905, -0.4572692957060282, 1.1474626465268813, -0.5715000260256423, 0.2187723926438397, -0.1656894991850635, -0.4390685057983629]","[1.0636513, 1.1358358, 0.6655613, 0.01707451, -0.5479573, -0.5185682, 0.06172166, -0.09144751, 0.8065746, 0.09576429]","(10, 5)",1e-06,"[0.1602606475353241, 1.4538190364837646, 1.271022081375122, 1.1596295833587646, -0.1851009726524353, 0.8727861046791077, -0.21162956953048706, 0.1705726981163025, -0.04491574317216873, -0.40230435132980347]"
