seed,Test,True,ARMA,Order
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7776569070948284, 0.47642100579613395, 0.9799440642449746, 0.8065128218823978, 1.1659882096749625, 1.0554568893849037, -0.25245656706744757, -0.644358675938247, 0.46915977665130326, 0.31683025472180165]","(3, 0, 0)"
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.0032227153524133356, -0.4266236374829153, -0.6408991522579475, -0.05274292116037904, -0.4197896512798433, -1.1990435807192004, -0.7850271960873162, -0.49837117633225, -0.9841508215406044, -0.7616276595348361]","(3, 0, 0)"
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.34094062488382426, 0.7868408912348438, 0.07817052375982607, 0.5131787107519206, 0.868687053683452, -0.07942530580445788, 0.1229687167883509, 1.0193920958321812, -0.059781538832783164, 0.8464545114521436]","(4, 0, 0)"
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5275535040275441, -1.272733130821855, -1.2767893795243748, 0.2486094841007071, 0.9936746775104671, 0.0819016481484085, -0.7848906949942281, -0.4997770157535879, -0.5510602062209178, 0.438863743512918]","(4, 0, 0)"
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1546247190145575, 0.12379581861344036, -0.31935372979891696, -0.09482918337266211, 0.0797612288756978, -0.5463323963114579, -0.9356640326272806, -0.43573023920950105, -0.09294945902344576, -0.21400905340935103]","(3, 0, 0)"
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7246603865941845, -0.6014529380066975, 0.30652861575192464, 0.2786125600332387, 0.6508279729521403, 1.1883942997758685, 1.000229049313455, 1.4410981051548875, 1.5446332287044893, 0.43748240261660265]","(3, 0, 0)"
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.11861970754554793, 0.6385002132675796, 0.09532752899207828, -0.21901584000837998, 0.3499177919546885, 0.09738583967612996, -0.5358605276486083, 0.03568916613664804, -0.05829793672492621, 0.25096514820738913]","(4, 0, 0)"
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.5591734576396474, -0.6357869701763488, 0.5272623920793732, 1.1602142945962286, 0.18218676384971688, -0.8265689204518825, -0.12956143393809286, 0.14618554940619746, -0.9418827734562488, -1.2332017564180378]","(4, 0, 0)"
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.0520841265034522, 0.1317885013867777, -0.43381815673013546, -0.92796399020978, -1.3873028730590633, -1.6393453756207943, -0.9064776017893755, -0.9898648064871707, -0.8675701115293207, -1.1314180224744175]","(4, 0, 0)"
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.7856055074322614, -0.4023673414068823, -0.20353664814893396, -0.19090536081040088, -0.57663090667846, 0.496530804797664, -0.30461058216729364, 0.424719967277941, -0.24934645682421902, -1.0772827806379828]","(3, 0, 0)"
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8471978894305762, 0.3840399730069892, -0.04706436454346407, 0.07314479324478054, -0.8214579801662534, -0.7058399359107074, 0.48969271197854625, -0.5070311485703525, -1.0741120251111522, 0.03758093456315169]","(4, 0, 0)"
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6819302341657452, 1.0377030781809673, -0.3332778949116729, 0.4243653274203361, 0.944140297993014, 0.2772270141144383, -0.09619513935914639, -0.49008045842302655, -0.5321164398595434, -0.18594081143828484]","(4, 0, 0)"
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.22539891348190444, -0.44897575380735966, 0.01133624451258547, 0.7324650777071866, 1.068126681411508, 0.7704136356651556, -0.2845518500158205, 0.2285501388711783, -0.7419483286322414, 0.21757032258086356]","(4, 0, 0)"
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[0.030838267750692566, -0.787801158524108, -1.227403728871984, 0.22631154689315808, 0.6592932208049762, 0.01814120607324754, -0.46130230575986464, -0.24521210422997516, -0.978284726910142, -0.8716226686603261]","(5, 0, 0)"
