seed,Test,True,ARMA,Order
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.2957821340223088, -0.5822200746238764, -0.19007800322369395, 0.3878953191706008, 0.553077147605244, -0.11403413882977267, 0.37524012535697004, 0.28260852182896223, -0.32127559977393694, -0.8151522626151926]","(1, 0, 1)"
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.603962451147654, 0.1781027834720375, 0.4953277919464106, 0.03427845958430391, 0.2064865252339873, -0.30079365707494793, -0.8959076179685297, 0.5381940910437812, 1.1113677402183633, 0.12173883767581684]","(1, 0, 1)"
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.09424300384415549, 0.8860053476122358, 0.8231068767209038, -0.5614351149950191, 0.22676197131716647, 0.5460424585127897, -0.5099933159641553, -1.206832070361843, 0.17217947565151853, 0.21527328752011723]","(3, 0, 0)"
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5136240489142256, -1.2464697554731101, -1.2979820559606796, 0.2937735727317478, 1.069144344659102, 0.04061672290603227, -0.9200082481198807, -0.5315664360553564, -0.4681143523939224, 0.5185710212984442]","(1, 0, 1)"
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[0.03083826779952706, -0.7878011585313057, -1.2274037288630193, 0.22631154688867794, 0.6592932207958616, 0.018141206055509056, -0.4613023056963183, -0.24521210424839404, -0.9782847268962508, -0.8716226686692108]","(5, 0, 0)"
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.35152308739786176, 0.7600339796085058, 0.08491266289137439, 0.533711607499084, 0.801235173931347, -0.043363176534306436, 0.13189172395076057, 1.0092400257377694, -0.03624595882822665, 0.8893233378557108]","(1, 0, 1)"
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8471978894305762, 0.3840399730069892, -0.04706436454346407, 0.07314479324478054, -0.8214579801662534, -0.7058399359107074, 0.48969271197854625, -0.5070311485703525, -1.0741120251111522, 0.03758093456315169]","(4, 0, 0)"
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642202018693898, 0.4496337489429884, 1.0415530004458575, 0.7671928125230169, 1.1896078219879487, 1.0156611615899571, -0.2586734808256892, -0.6581747057796674, 0.4098103760563495, 0.2888899504035941]","(1, 0, 1)"
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.921245646506572, -0.31123202311865855, -0.5171372231070578, -1.0370334024508188, -1.1796341714789498, 0.3121635258608502, 0.8644278806058943, 0.08561912802661886, -0.028118921714333337, -0.10528980830587825]","(1, 0, 1)"
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.6978165856456123, -0.3968793785743571, -0.2811757379481922, -0.16640619750543073, -0.566541310910964, 0.5101610850021321, -0.3415056293859186, 0.5095542359754284, -0.3168562273861688, -1.0074545354331172]","(1, 0, 1)"
